0,1,2,3,target
6,1,42,41,Yogaraja Guggulu
14,33,31,41,Drakshasava
59,23,65,41,"Dashanasanskara
Churna"
102,16,57,20,Vatagajankusha Rasa
17,14,8,41,Lakshadi Guggulu
58,85,65,41,Sarasvata Churna
50,103,65,41,"Laghumalini Vasanta
Rasa"
21,12,65,41,Ksharsutra
11,77,65,41,"Brihanmasha Taila
/Mahamash Taila"
61,9,43,33,"Ashvagandharisht
a"
102,105,65,41,"Guggulutiktaka
Ghrita"
45,82,38,15,Kanakasava
45,82,52,25,Vyaghri Haritaki
19,41,65,41,"Apamargkshara
Taila"
37,24,65,41,Prabhakara Vati
29,27,3,1,Kanchanara Guggulu
25,99,0,13,Balarishta
42,90,65,41,Triphala Ghrita
24,2,55,0,Arka Pudina
46,78,65,41,Bhringaraja Tail
43,100,65,41,Marichyadi Taila
117,21,65,41,Jathyadi Ghrita
112,93,65,41,"Gandharvahasta
Taila"
85,67,27,41,Punarnavasava
4,42,47,34,Draksharishta
106,22,65,41,Pinda Taila
35,42,47,11,Kantakaryavaleha
108,70,63,17,Kaishora Guggulu
5,4,0,3,"Dhanyapanchaka
Kashaya Churna"
22,52,65,41,Brahmi Vati
82,78,65,41,"Shirahshuladi vajra
Rasa"
107,62,65,41,Narayana Taila
67,105,65,41,Kapardika Bhasma
73,55,26,4,Gokshuradi Guggulu
41,40,65,41,Sphatika Bhasma
70,105,65,41,"Laghu Sutashekhara
Rasa"
84,39,15,31,"Haridrakhanda
Paka"
8,69,29,41,Triphala Churna
90,76,65,41,Navak Guggulu
74,89,0,41,"Saubhagyashunthi
Paka"
44,105,65,41,Saindhavadi Taila
4,6,65,41,Shankha Bhasma
4,42,47,34,Draksharishta
6,98,41,0,Simhanada Guggulu
73,55,26,4,Gokshuradi Guggulu
78,105,65,41,Pushyanuga Churna
15,56,65,41,"Varunadi Kvatha
Churna"
16,83,64,41,Ashokarishta
55,0,45,14,"Arka Shatpushpa/
Mishr eyarka"
45,82,38,15,Kanakasava
37,24,65,41,Prabhakara Vati
4,105,65,41,Chitrakadi Gutika
45,82,40,41,"Chyavanprash
Avaleha"
45,66,65,41,Pravala Pishti
87,30,65,41,"Ajamodadi
Churna"
45,82,38,15,Kanakasava
15,56,65,41,"Varunadi Kvatha
Churna"
96,105,65,41,Tiktaka Ghrita
45,82,38,15,Kanakasava
102,46,65,41,"Indukantam
Kashayam Churna"
59,23,65,41,"Dashanasanskara
Churna"
15,54,65,41,"Shveta
Parpati/Kshara
Parpati"
45,82,65,41,"Tankana Bhasma/
Saubhagya Bhasma"
92,25,65,41,Saptamrita Lauha
71,22,53,23,Ushirasava
86,54,21,41,Chandanasava
35,42,47,26,"Agastya Haritaki
/ Agastya
Rasayana"
45,82,56,16,"Kushmandaka
Rasayana"
111,94,65,41,Haritaki Churna
53,36,59,12,Guduchi Churna
91,1,9,8,Jirakadyarishta
5,4,0,3,"Dhanyapanchaka
Kashaya Churna"
66,37,21,41,Navayasa Lauha
66,63,0,41,Dadimadi Ghrita
86,54,21,41,Chandanasava
59,105,65,41,Erimedadi Taila
118,96,48,41,"Pancha-valkala
Kashaya Churna"
107,59,65,41,"Dhanvantar
Taila/Dhanvantar
Taila Avarti"
44,105,65,41,Saindhavadi Taila
107,62,65,41,Narayana Taila
4,2,16,39,Mustakarishta
82,65,65,41,Godanti Bhasma
18,29,37,41,Kutajavaleha
22,52,65,41,Brahmi Vati
18,29,37,41,Kutajavaleha
107,58,65,41,Mahanarayan Taila
62,105,65,41,Shatavaryadi Ghrita
71,22,53,23,Ushirasava
96,105,65,41,Tiktaka Ghrita
60,105,65,41,"Khadiradi Gutika
(Mukhroga)"
107,57,65,41,"Laghuvishagarbha
Taila"
20,105,65,41,"Balashvagandhadi
Taila"
84,39,15,31,"Haridrakhanda
Paka"
30,15,65,41,Panchamrita Parpati
20,105,65,41,"Balashvagandhadi
Taila"
4,31,65,41,"Lavanabhaskara
Churna/
Bhaskarlavan churna"
73,55,26,4,Gokshuradi Guggulu
68,42,65,41,"Saptavinshati
Guggulu"
55,2,65,41,Sanjivani Vati
45,82,22,22,Vasavaleha
32,75,0,41,Kutajarishta
89,48,65,41,"Somaraji Taila
/Bakuchi Taila"
107,57,65,41,"Laghuvishagarbha
Taila"
1,7,65,41,Yavakshar
34,45,5,41,Kankayan Gutika
107,59,65,41,"Dhanvantar
Taila/Dhanvantar
Taila Avarti"
54,31,65,41,Trivritamul Churna /Trivrita Churna
32,75,0,41,Kutajarishta
53,36,59,12,Guduchi Churna
84,39,15,31,"Haridrakhanda
Paka"
55,2,65,41,Sanjivani Vati
67,105,65,41,Kapardika Bhasma
33,5,65,41,Rasna Guggulu
50,103,65,41,"Laghumalini Vasanta
Rasa"
66,63,0,41,Dadimadi Ghrita
68,42,65,41,"Saptavinshati
Guggulu"
107,5,65,41,"Kottamachukkadi
Taila"
45,82,56,16,"Kushmandaka
Rasayana"
73,105,65,41,Chandraprabha Vati
43,92,61,41,Aragvadharishta
107,58,65,41,Mahanarayan Taila
37,24,65,41,Prabhakara Vati
93,1,2,41,"Arka Yavani/Arka
Ajvayana"
88,42,25,41,Sitopaladi Churna
54,31,65,41,Trivritamul Churna /Trivrita Churna
57,95,21,41,Mukta Pishti
98,36,34,41,Muktashukti Bhasma
53,36,59,12,Guduchi Churna
40,13,0,24,Bilvadi Leha
42,90,65,41,Triphala Ghrita
66,74,65,41,"Vasaguduchyadi
Kashaya Churna"
85,81,65,41,Bilvadi Churna
116,2,65,41,Lahsunadi Vati
42,61,65,41,"Phalatrikadi Kvatha
Churna"
80,105,65,41,Panchaguna Taila
53,36,59,12,Guduchi Churna
66,74,65,41,"Vasaguduchyadi
Kashaya Churna"
12,3,65,41,Trikatu Churna
62,105,65,41,Gokshura Churna
41,98,65,41,Guduchi Sattva
33,105,65,41,"Trayodashanga
Guggulu"
45,82,14,41,Eladi Gutika
69,42,47,41,Chitraka Haritaki
54,105,65,41,Abhayadi Modakam
6,98,41,0,Simhanada Guggulu
62,105,65,41,Shatavaryadi Ghrita
73,74,65,41,Amalaki Churna
53,36,59,12,Guduchi Churna
30,15,1,39,Shankha Vati
32,75,0,41,Kutajarishta
29,27,3,1,Kanchanara Guggulu
41,71,23,41,Tribhuvankirti Rasa
4,31,65,41,"Lavanabhaskara
Churna/
Bhaskarlavan churna"
102,16,57,20,Vatagajankusha Rasa
66,79,65,41,"Punarnavadi
Mandura"
105,102,17,35,Punarnava Guggulu
78,105,65,41,Pushyanuga Churna
74,89,0,41,"Saubhagyashunthi
Paka"
